ID;AAU Navn;Formaal;Delsystemer (komponenter);Leverandør (egenudvikling/ekstern (+ navn på leverandør);Produktnavn;Version (nuværende);Programområde;Programformand;BRM;Systemforvalter (eksisterende);Systemejer;Organisatorisk enhed;Eksisterende styregruppe;Forretningskritisk [Lav/Mellem/Høj];Faste licens og serviceaftaler art: 147148;Tilkøb nye licenser art: 147148;Ekstra service- og supportaftaler art: 147041;Vedligehold art: 147041;Udviklingsmidler art: 147041;I alt;Kommentarer (økonomi);SLA (URL);Backlog (link);Antal brugere;Service (fra Service katalog);Kontrakt;Supportgruppe i SUP;Klient afhængigheder;Eksiserende dokumentation (URL m.m.);Overvågning (er det etableret?);IFS driftspersoner;Hosting;URL;Brugervendt?;T/uge i ITS;T/uge AAU (-ITS);T/uge Ekstern;Bemærkning;Sidst Editeret af ;Dato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;A500 ;(bibliotekssystem) mv.;;;;;Forskning & Formidling;;;;Niels Henrik Gylstorff?;AUB;;;847.000;;;;351.000;1.198.000;;;;;;;;;;;;;;;AIU: ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Active Directory;Backend til håndtering af bruger og system konti, adgangsstyring mv.;;;;;ITS (internt);;;;ITS;;;Høj;;;;;;;;;;;;;;;;;KST, EHN, DB;;;Nej;IFS: 5;;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;ADK;Adgangskontrol til AAU;Trækker data fra AAUCard;G4S;;;Administration;;;;TF/Torben Gregersen;TF;;Høj;;;;;;;;;;;;;;Ja, kører på terminalserver;;;JNI;ITS;;;"AIU: 0
IFS: 2";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;ADMdb;Brugeroprettelse (IT);Webinterface, ADMdbWS, DB Schema;Egenudvikling;Custom;7.51;ITS (internt);;N/A;Mikael M. Hansen;ITS/ Kirsten Hjerrild Nielsen;ITS;Nej;Høj;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ingen;https://jira.srv.aau.dk/jira/browse/ADMDB/;~100 stk;http://www.servicekatalog.its.aau.dk/support-og-raadgivning//#personlig-mail-og-kalender-oprettelse;N/A;Tror det ikke;Blot en gængs browser;Intet;Nej, tror det ikke;Ved ikke;Vores egen (tools.ist.aau.dk);Flere forskellige;;AIU: 5;;;Forventes at skulle dø/udgå ifm. Introduktionen af IDM;MMH;20-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Adobe Connect;Videomøder;;DeIC;Adobe Connect;;ITS (internt);;;Lillian Buus, Brian Møller;Deic.dk;ITS;;Lav;;;;;;;;;;;;;;Dur ikke med Chrome, men ellers ingen afhængigheder;;;;SaaS;https://c.deic.dk;;AIU: 2;;;;MMH;22-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Adramatch;en løsning til automatisering, standardisering og visualisering af håndteringen af transaktioner og til oprettelse af afslutningsbilag for balancekonti til månedsafslutningen.;;Adra Match;Adra Match Accounts;;Administration;MW;;?;Jan W. Bech;ØA;;;124.875;;;25.000;;149.875;;;;3;;;;;;;CS;;;?;"AIU: 0
IFS: 0,2";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;AFS Storage;Netværksfilsystem for Elektroniske Systemer. Udfasning omkring 2017/2018.;;;;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS:1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Aleph;;;;;;Forskning & Formidling;;;Person på AUB måske Kasper Løvschall;Niels Henrik Gylstorff?;AUB;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;CLA;02-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Alinto;Kandidatnet;Henter data fra STADS;Elsevir;;;Studieadministrationen;Henrik Brohus;;ITS ISR-SA;Christian Volmer;StudieService, Karrierecenteret;;;;;;;;;;;;;;;;;;;;;;;AIU: 5;;;Der er aftalt en møderækker mhp. Gøren status og opstart/overdragelse fa forvaltning til ITS i foråret 2016;MMH;04-02-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;Antivirus;Udrulning af antivirus pakker, samt drift af opdateringsservere;;;Sophos;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;"SUP: 0,5
IFS: 1";;;SUP tidsforbrug udfør reelt prioritering, mange opfølgning og procedure for håndtering af AV bliver ikke gennemført;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
